FOODID,FOODNAME_y,FOODTYPE,PROCESS,EDPORT,IGCLASS,IGCLASSP,CA,CAROTENS,FE,FIBC,FOL,ID,K,MG,NACL,NATRIUM,NIA,NIAEQ,P,RIBF,SE,THIA,VITA,VITB12,VITC,VITD,VITE,VITK,VITPYRID,ZN
100,"FLOUR, RYE, WHOLEGRAIN RYE FLOUR",FOOD,RAW,100,RYE,CERTOT,33.0,219.7,3.3,13.9,38.0,5.0,445.0,97.0,2.55,1.0,0.2,2.037,312.0,0.16,5.0,0.31,0.54,0.0,0.0,0.0,1.02,5.9,0.17,2.9
103,RYE FLAKES,FOOD,RAW,100,RYE,CERTOT,30.0,219.7,3.5,13.9,43.4,20.0,450.0,110.0,12.74,5.0,0.7,2.537,290.0,0.1,5.0,0.24,0.54,0.0,0.0,0.0,0.39,5.9,0.42,2.6
110,"FLOUR, WHEAT FLOUR, SEMI-COARSE",FOOD,RAW,100,WHEAT,CERTOT,19.0,4.3,0.9,3.5,18.0,10.0,155.0,29.0,2.55,1.0,0.9,3.071,116.0,0.05,10.0,0.08,0.36,0.0,0.0,0.0,0.39,1.0,0.1,0.8
111,"FLOUR, WHOLE WHEAT FLOUR, GRAHAM FLOUR",FOOD,RAW,100,WHEAT,CERTOT,32.0,224.1,3.9,9.9,45.0,5.0,417.0,121.0,2.55,1.0,5.0,7.672,347.0,0.15,7.6,0.35,0.36,0.0,0.0,0.0,1.0,2.6,0.11,3.0
112,SEMOLINA,FOOD,RAW,100,WHEAT,CERTOT,13.0,197.1,1.2,3.5,42.0,5.0,150.0,21.0,7.64,3.0,1.0,3.705,95.0,0.05,7.74,0.08,0.36,0.0,0.0,0.0,0.15,1.0,0.11,0.8
113,"SEMOLINA, WHOLE WHEAT",FOOD,RAW,100,WHEAT,CERTOT,26.0,4.3,1.2,5.5,42.0,5.0,390.0,127.0,12.74,5.0,1.0,3.705,350.0,0.12,7.74,0.08,0.36,0.0,0.0,0.0,0.15,2.6,0.42,3.6
114,WHEAT FLAKES,FOOD,RAW,100,WHEAT,CERTOT,25.0,4.3,5.0,12.9,39.6,30.0,440.0,114.0,10.19,4.0,5.0,7.672,330.0,0.08,9.46,0.19,0.36,0.0,0.0,0.0,1.0,2.6,0.24,3.3
115,WHEAT GERM,FOOD,RAW,100,WHEAT,CERTOT,41.0,848.7,8.9,14.0,213.0,5.0,1060.0,293.0,5.86,2.3,4.2,9.878,1000.0,0.63,9.46,1.7,5.14,0.0,0.0,0.0,22.08,4.0,0.65,17.8
116,WHEAT BRAN,FOOD,RAW,100,WHEAT,CERTOT,116.0,248.3,20.0,37.5,63.0,5.0,2260.0,822.0,2.55,1.0,23.0,27.709,1850.0,0.35,17.0,0.8,0.46,0.0,0.0,0.0,1.63,2.0,1.0,13.0
117,"MACARONI, PASTA",FOOD,RAW,100,WHEAT,CERTOT,21.0,4.3,3.3,3.35,23.7,10.0,270.0,33.0,7.64,3.0,0.9,3.989,140.0,0.05,7.74,0.08,0.36,0.0,0.0,0.0,0.12,1.0,0.06,1.2
119,"MACARONI, WHOLE WHEAT",FOOD,RAW,100,WHEAT,CERTOT,23.0,226.6,4.1,5.9,55.7,10.0,280.0,91.0,7.64,3.0,5.0,8.089,280.0,0.12,7.6,0.35,0.4,0.0,0.0,0.0,1.0,1.0,0.05,3.1
