FOODID;FOODNAME_y;CA;CAROTENS;FE;FIBC;FOL;JODI;K;MG;NIAEQ;P;RIBF;SE;THIA;VITA;VITB12;VITC;VITD;VITE;VITK;VITPYRID;ZN;Calsium;Carotenoids;Iron;Fiber;Folate;Iodine;Kalium;Magnesium;Niacin;Phosphorus;Riboflavin;Selenium;Thiamin;Vitamin A;Vitamin B12;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Vitamin B6;Zinc
103;RYE;30;219,7;3,5;13,9;43,4;20;450;110;2,537;290;0,1;5;0,24;0,54;0;0;0;0,39;5,9;0,42;2,6;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0
152;BARLEY;18;162,4;3,2;9,1;32,7;10;280;70;6,204;220;0,03;8,6;0,12;0;0;0;0;0,3;2,2;0,1;2;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
153;OATS;47;177;4,7;10;43,6;20;414;142;4,307;471;0,09;12;0,33;0;0;0;0;0,85;2,1;0,13;3,6;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0
167;MAIZE, KERNEL, DRIED, UNPOPPED;0,4;4245,5;1,5;9,2;20;5;270;72;3,019;170;0,28;2;0,53;34,736;0;0;0;0,4;1,5;1,1;1,4;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0
175;WHEAT GRAIN;32;224,1;3,9;9,9;45;5;417;121;7,672;347;0,15;7,6;0,4;0,36;0;0;0;1;2,6;0,11;3;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0
205;POTATO, PEELED;5,6;67,9;0,67;1;23,17;1;500;24;0,917;45;0,03;0,637;0,21;0,64;0;10;0;0,05;1,04;0,12;0,31;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
300;CARROT;29;11326,1;0,5;2,55;16,38;1;390;14;0,917;40;0,07;0,197;0,07;774,12;0;6,5;0;0,36;19;0,03;0,4;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
303;SWEDE, RUTABAGA;42;35;0,22;2,9;50,08;1;350;12;1,434;41;0,06;10;0,06;0,124;0;45,6;0;0;2;0,12;0,15;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
304;TURNIP;33;71,8;0,15;2,7;14;1;180;17;1,4;34;0,06;10;0,06;5,96;0;22,9;0;0;2;0,08;0,16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
305;BEETROOT, RED BEET;11;11,4;0,25;2,5;150;1;320;15;0,35;32;0,05;10;0,03;0,58;0;3,03;0;0,05;3;0,05;0,26;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
308;RADISH;16;21,4;0,17;1,1;38;1;340;8,9;0,35;19;0,04;10;0,04;0,78;0;15,1;0;0;0,4;0,06;0,12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
309;PARSNIP;31;20;0,39;5,7;87;1;480;28;1,051;58;0,09;10;0,13;1,66;0;15,2;0;0,82;0;0,13;0,33;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310;JERUSALEM ARTICHOKE;23;8;0,2;16,4;13;0;630;13;1,534;60;0,05;10;0,2;0,664;0;4,68;0;0,35;0,1;0,11;0,24;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
311;CELERIAC, TURNIP-ROOTED CELERY, KNOB CELERY, CELERY ROOT;36;0;0,29;2,9;51;2;390;8,5;0,95;58;0,1;10;0,1;0;0;3,25;0;0,5;41;0,2;0,26;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
312;BLACK SALSIFY;53;20;3,3;7,3;31;0;320;23;0,4;76;0,04;10;0,11;1,66;0;4;0;0,8;0;0,08;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
320;WHITE CABBAGE;38;218;0,2;2,5;29,94;1;240;10;0,751;27;0,05;10;0,07;5,46;0;36,8;0;0,04;60;0,16;0,11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
