FOODID,FOODNAME_y,CA,CAROTENS,FE,FIBC,FOL,JODI,K,MG,NIAEQ,P,RIBF,SE,THIA,VITA,VITB12,VITC,VITD,VITE,VITK,VITPYRID,ZN,Calsium,Carotenoids,Iron,Fiber,Folate,Iodine,Kalium,Magnesium,Niacin,Phosphorus,Riboflavin,Selenium,Thiamin,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B6,Zinc
100,"FLOUR, RYE, WHOLEGRAIN RYE FLOUR",33.0,219.7,3.3,13.9,38.0,5.0,445.0,97.0,2.037,312.0,0.16,5.0,0.31,0.54,0.0,0.0,0.0,1.02,5.9,0.17,2.9,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
103,RYE FLAKES,30.0,219.7,3.5,13.9,43.4,20.0,450.0,110.0,2.537,290.0,0.1,5.0,0.24,0.54,0.0,0.0,0.0,0.39,5.9,0.42,2.6,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
110,"FLOUR, WHEAT FLOUR, SEMI-COARSE",19.0,4.3,0.9,3.5,18.0,10.0,155.0,29.0,3.071,116.0,0.05,10.0,0.08,0.36,0.0,0.0,0.0,0.39,1.0,0.1,0.8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,"FLOUR, WHOLE WHEAT FLOUR, GRAHAM FLOUR",32.0,224.1,3.9,9.9,45.0,5.0,417.0,121.0,7.672,347.0,0.15,7.6,0.35,0.36,0.0,0.0,0.0,1.0,2.6,0.11,3.0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
112,SEMOLINA,13.0,197.1,1.2,3.5,42.0,5.0,150.0,21.0,3.705,95.0,0.05,7.74,0.08,0.36,0.0,0.0,0.0,0.15,1.0,0.11,0.8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,"SEMOLINA, WHOLE WHEAT",26.0,4.3,1.2,5.5,42.0,5.0,390.0,127.0,3.705,350.0,0.12,7.74,0.08,0.36,0.0,0.0,0.0,0.15,2.6,0.42,3.6,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
114,WHEAT FLAKES,25.0,4.3,5.0,12.9,39.6,30.0,440.0,114.0,7.672,330.0,0.08,9.46,0.19,0.36,0.0,0.0,0.0,1.0,2.6,0.24,3.3,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
115,WHEAT GERM,41.0,848.7,8.9,14.0,213.0,5.0,1060.0,293.0,9.878,1000.0,0.63,9.46,1.7,5.14,0.0,0.0,0.0,22.08,4.0,0.65,17.8,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1
116,WHEAT BRAN,116.0,248.3,20.0,37.5,63.0,5.0,2260.0,822.0,27.709,1850.0,0.35,17.0,0.8,0.46,0.0,0.0,0.0,1.63,2.0,1.0,13.0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
117,"MACARONI, PASTA",21.0,4.3,3.3,3.35,23.7,10.0,270.0,33.0,3.989,140.0,0.05,7.74,0.08,0.36,0.0,0.0,0.0,0.12,1.0,0.06,1.2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,"MACARONI, WHOLE WHEAT",23.0,226.6,4.1,5.9,55.7,10.0,280.0,91.0,8.089,280.0,0.12,7.6,0.35,0.4,0.0,0.0,0.0,1.0,1.0,0.05,3.1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
120,"NOODLE, WHEAT",22.0,191.2,4.1,3.3,11.0,0.0,180.0,18.0,2.979,120.0,0.07,7.548,0.078,0.35,0.0,0.0,0.0,0.499,1.136,0.06,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"PASTA, SPAGHETTI, MACARONI",16.0,197.1,4.4,3.35,23.7,5.0,180.0,27.0,3.989,110.0,0.05,7.74,0.08,0.36,0.0,0.0,0.0,0.39,1.0,0.1,1.1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,"FLOUR, DARK WHEAT FLOUR",26.0,229.0,2.5,5.5,38.0,10.0,275.0,76.0,7.34,248.0,0.12,11.4,0.45,0.44,0.0,0.0,0.0,1.57,1.8,0.11,2.1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
125,"FLOUR MIXTURE, FOR BREAD ROLLS, WHEAT FLOUR, WHEAT GROATS, RYE",17.0,119.3,2.4,5.5,30.0,5.0,240.0,51.0,7.161,176.0,0.1,9.46,0.48,0.42,0.0,0.0,0.0,0.72,2.937,0.13,1.6,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
126,"FLOUR, BREADCRUMBS",18.94,4.3,0.895,3.482,17.91,9.95,154.21,28.866,3.055,115.4,0.05,9.949,0.0796,0.358,0.0,0.0,0.0,0.388,0.995,0.1,0.796,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,"WAFER, ICE CREAM CONE",48.0,140.1,4.2,4.3,5.0,5.0,150.0,23.0,2.183,130.0,0.04,5.611,0.0455,0.254,0.0,0.0,0.0,1.254,7.692,0.07,0.87,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,"FLOUR, WHEAT FLOUR, SEMI-COARSE, BAKERY INDUSTRY, FRESH",13.0,197.1,1.2,3.7,17.0,10.0,150.0,21.0,3.071,95.0,0.05,7.74,0.08,0.36,0.0,0.0,0.0,0.39,1.0,0.1,0.8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150,"FLOUR, BARLEY FLOUR",23.0,162.4,4.5,7.6,35.0,5.0,360.0,89.0,7.504,300.0,0.12,8.6,0.4,0.0,0.0,0.0,0.0,0.3,2.2,0.1,2.8,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
151,"BARLEY, PEARL",20.0,162.4,3.0,7.6,19.0,10.0,270.0,65.0,5.004,210.0,0.08,8.6,0.2,0.0,0.0,0.0,0.0,0.3,2.2,0.1,2.1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
152,"BARLEY, ROLLED, BARLEY FLAKES",18.0,162.4,3.2,9.1,32.7,10.0,280.0,70.0,6.204,220.0,0.03,8.6,0.12,0.0,0.0,0.0,0.0,0.3,2.2,0.1,2.0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
153,"OATS, ROLLED, OAT FLAKES",47.0,177.0,4.7,10.0,43.6,20.0,414.0,142.0,4.307,471.0,0.09,12.0,0.33,0.0,0.0,0.0,0.0,0.85,2.1,0.13,3.6,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
154,"FLOUR MIXTURE, TALKKUNA POWDER, ROASTED BARLEY, RYE, OAT, PEA",53.0,111.3,7.0,9.9,35.0,170.0,380.0,114.0,7.504,360.0,0.19,8.6,0.5,0.36,0.0,0.0,0.0,0.3,2.2,0.21,3.5,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
156,"RICE, WHITE",6.0,0.0,1.2,2.3,20.0,5.0,130.0,34.0,2.836,110.0,0.03,15.0,0.05,0.0,0.0,0.0,0.0,0.04,0.16,0.08,1.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,"RICE, WHOLEGRAIN",11.0,0.0,3.6,7.4,23.0,5.0,260.0,110.0,5.911,250.0,0.03,23.0,0.05,0.0,0.0,0.0,0.0,0.63,0.8,0.61,1.6,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
160,"FLOUR, MILLET, WHOLE OR CRUSHED GRAINS",9.0,0.0,4.8,3.2,24.0,5.0,220.0,103.0,3.587,240.0,0.14,2.0,0.26,0.0,0.0,0.0,0.0,0.06,0.9,0.75,3.4,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
161,"FLOUR, BUCKWHEAT, WHOLE OR CRUSHED GRAINS",18.0,0.0,3.8,5.8,35.0,5.0,460.0,178.0,5.856,320.0,0.16,5.0,0.6,0.0,0.0,0.0,0.0,0.22,6.8,0.4,2.5,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
162,"FLOUR, POTATO STARCH, POTATO FLOUR",18.0,0.0,0.6,1.4,25.0,30.0,60.0,8.0,0.15,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,"MAIZE, KERNEL, DRIED, UNPOPPED",0.4,4245.5,1.5,9.2,20.0,5.0,270.0,72.0,3.019,170.0,0.28,2.0,0.53,34.736,0.0,0.0,0.0,0.4,1.5,1.1,1.4,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
168,MALT FOR BEER,38.0,0.0,6.9,14.3,7.4,5.0,410.0,14.0,0.0,390.0,0.34,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.42,3.8,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
170,OAT BRAN,85.0,177.0,8.0,17.5,51.0,20.0,638.0,230.0,6.394,718.0,0.17,13.0,1.0,0.0,0.0,0.0,0.0,0.85,2.1,0.17,5.0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
172,"SPAGHETTI SPINACH, CONTAINS EGG",25.3,262.8,0.982,3.35,26.54,14.3,148.98,24.843,2.914,121.4,0.102,12.986,0.0806,47.65,0.0,1.14,0.35,0.615,6.014,0.1,0.833,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,"OAT MACARONI, CONTAINS WHEAT AND OATS",30.2,189.1,2.92,5.82,25.68,14.0,272.8,76.6,3.565,271.8,0.066,9.044,0.18,0.21,0.0,0.0,0.0,0.574,1.44,0.11,2.12,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
175,"WHEAT GRAIN, CRUSHED",32.0,224.1,3.9,9.9,45.0,5.0,417.0,121.0,7.672,347.0,0.15,7.6,0.4,0.36,0.0,0.0,0.0,1.0,2.6,0.11,3.0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
176,"RYE GRAIN, CRUSHED",34.0,219.7,3.0,18.1,40.0,5.0,450.0,103.0,2.151,298.0,0.1,4.9,0.28,0.54,0.0,0.0,0.0,1.02,5.9,0.28,2.7,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
182,"FLOUR, RICE FLOUR, RICE FLAKE",6.0,0.0,1.2,1.0,7.0,5.0,130.0,34.0,3.436,110.0,0.01,15.0,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.08,1.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
183,"FLOUR, RICE FLOUR, WHOLE GRAIN",11.0,0.0,3.6,7.4,19.0,5.0,260.0,110.0,5.911,250.0,0.03,23.0,0.05,0.0,0.0,0.0,0.0,0.63,0.8,0.61,1.6,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
185,"FLOUR MIXTURE, GLUTEN-FREE, CONTAINS WHEAT STARCH",220.0,455.6,6.5,1.25,15.08,16.4,184.3,27.542,5.331,190.0,0.4,9.713,0.4,3.513,0.0,0.33,0.0,0.062,0.111,0.42,0.93,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
189,"FLOUR MIXTURE, RYE, WHEAT",26.0,112.0,2.1,8.7,28.0,7.5,300.0,63.0,2.554,214.0,0.105,7.5,0.195,0.45,0.0,0.0,0.0,0.705,3.45,0.14,1.85,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
202,"POTATO, DRIED",26.0,339.5,3.0,7.3,58.0,0.0,2150.0,103.2,3.6,172.0,0.1,6.7,0.25,3.195,0.0,26.0,0.0,0.25,5.2,0.6,1.29,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
204,"POTATO, NEW",4.7,16.7,0.63,1.0,10.0,1.0,470.0,20.0,0.917,54.0,0.03,0.637,0.21,0.27,0.0,13.0,0.0,0.05,1.04,0.53,0.33,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
205,"POTATO, PEELED",5.6,67.9,0.67,1.0,23.17,1.0,500.0,24.0,0.917,45.0,0.03,0.637,0.21,0.64,0.0,10.0,0.0,0.05,1.04,0.12,0.31,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
206,MASHED POTATO POWDER,132.72,267.2,2.796,6.716,13.0,12.0,2114.8,105.024,4.092,236.6,0.266,7.764,0.2572,2.96,0.0,25.0,0.0,0.196,4.792,1.04,1.566,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0
207,"FRENCH FRIES, FROZEN",6.25,63.9,0.639,0.94,15.42,0.94,471.17,22.704,1.516,43.6,0.028,0.599,0.1974,0.61,0.0,4.0,0.0,1.367,8.946,0.11,0.295,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,POTATOFLAKE,11.0,43.0,1.9,6.5,58.0,0.0,1280.0,80.0,5.786,172.0,0.13,6.7,0.17,0.498,0.0,31.0,0.0,0.03,8.7,0.748,1.29,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
300,CARROT,29.0,11326.1,0.5,2.55,16.38,1.0,390.0,14.0,0.917,40.0,0.07,0.197,0.07,774.12,0.0,6.5,0.0,0.36,19.0,0.03,0.4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
302,"CARROT, DRIED",145.0,94384.2,2.5,20.7,136.5,8.33,1950.0,70.0,7.641,200.0,0.28,1.642,0.28,6450.967,0.0,11.0,0.0,3.0,158.333,0.25,2.0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0
303,"SWEDE, RUTABAGA",42.0,35.0,0.22,2.9,50.08,1.0,350.0,12.0,1.434,41.0,0.06,10.0,0.06,0.124,0.0,45.6,0.0,0.0,2.0,0.12,0.15,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,TURNIP,33.0,71.8,0.15,2.7,14.0,1.0,180.0,17.0,1.4,34.0,0.06,10.0,0.06,5.96,0.0,22.9,0.0,0.0,2.0,0.08,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"BEETROOT, RED BEET",11.0,11.4,0.25,2.5,150.0,1.0,320.0,15.0,0.35,32.0,0.05,10.0,0.03,0.58,0.0,3.03,0.0,0.05,3.0,0.05,0.26,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,"BEETROOT, PICKLED",16.0,4.4,0.73,1.8,35.59,1.0,160.0,13.0,0.35,19.0,0.05,0.4,0.02,0.0,0.0,6.0,0.0,0.06,1.2,0.05,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,RADISH,16.0,21.4,0.17,1.1,38.0,1.0,340.0,8.9,0.35,19.0,0.04,10.0,0.04,0.78,0.0,15.1,0.0,0.0,0.4,0.06,0.12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,PARSNIP,31.0,20.0,0.39,5.7,87.0,1.0,480.0,28.0,1.051,58.0,0.09,10.0,0.13,1.66,0.0,15.2,0.0,0.82,0.0,0.13,0.33,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,JERUSALEM ARTICHOKE,23.0,8.0,0.2,16.4,13.0,0.0,630.0,13.0,1.534,60.0,0.05,10.0,0.2,0.664,0.0,4.68,0.0,0.35,0.1,0.11,0.24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,"CELERIAC, TURNIP-ROOTED CELERY, KNOB CELERY, CELERY ROOT",36.0,0.0,0.29,2.9,51.0,2.0,390.0,8.5,0.95,58.0,0.1,10.0,0.1,0.0,0.0,3.25,0.0,0.5,41.0,0.2,0.26,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,BLACK SALSIFY,53.0,20.0,3.3,7.3,31.0,0.0,320.0,23.0,0.4,76.0,0.04,10.0,0.11,1.66,0.0,4.0,0.0,0.8,0.0,0.08,0.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
